hole_cards,preflop_action,position,sample_hand_strength,position_processed,preflop_action_processed
"('Kd', 'Ac')",F,CO,0.05,2,0
"('Ah', 'Td')",R,BTN,0.105,3,1
"('Jd', 'Kd')",F,BTN,0.085,3,0
"('Ks', 'As')",R,CO,0.035,2,1
"('Qs', 'Ts')",R,SB,0.15,4,1
"('Jc', 'Qs')",F,CO,0.195,2,0
"('Ac', '6c')",F,SB,0.155,4,0
"('Jc', 'Ah')",R,BTN,0.08,3,1
"('Qs', 'Jc')",R,BTN,0.195,3,1
"('Kh', 'Ah')",R,EP,0.035,0,1
"('Qc', 'Jh')",F,BTN,0.195,3,0
"('Qd', 'Kh')",R,CO,0.115,2,1
"('9h', 'Ah')",R,SB,0.085,4,1
"('Ts', 'Ah')",R,BTN,0.105,3,1
"('5s', 'As')",F,MP,0.155,1,0
"('Ad', '7s')",F,BTN,0.2,3,0
"('Th', 'Kc')",F,MP,0.175,1,0
"('Kh', 'Ah')",F,CO,0.035,2,0
"('Ts', 'As')",F,MP,0.06,1,0
"('7s', '7h')",F,BTN,0.055,3,0
"('9s', 'Ah')",F,MP,0.145,1,0
"('Js', 'Jc')",R,CO,0.02,2,1
"('Ah', '9h')",F,MP,0.085,1,0
"('Th', 'Tc')",R,MP,0.025,1,1
"('Jh', 'Kd')",F,MP,0.14,1,0
"('Tc', 'Qc')",R,MP,0.15,1,1
"('5h', '5c')",R,BTN,0.145,3,1
"('Ad', 'Qh')",R,EP,0.07,0,1
"('6d', 'Ad')",F,MP,0.155,1,0
"('Kc', 'Tc')",R,BTN,0.1,3,1
"('Ks', 'Js')",R,BTN,0.085,3,1
"('Td', 'Jd')",F,MP,0.21,1,0
"('Kh', 'Ts')",F,EP,0.175,0,0
"('As', 'Qd')",R,EP,0.07,0,1
"('Qd', 'Jh')",F,MP,0.195,1,0
"('Qs', 'Js')",R,SB,0.12,4,1
"('Ts', 'Ks')",R,MP,0.1,1,1
"('Qh', 'Kh')",R,BTN,0.07,3,1
"('2d', 'Ad')",R,SB,0.215,4,1
"('Jc', 'Ks')",F,BTN,0.14,3,0
"('Kc', 'Ah')",R,BTN,0.05,3,1
"('Ac', '7h')",R,BTN,0.2,3,1
"('Ks', 'Jc')",F,EP,0.14,0,0
"('Ac', '9h')",F,MP,0.145,1,0
"('Kd', '9d')",F,MP,0.145,1,0
"('As', '9c')",F,MP,0.145,1,0
"('Tc', 'Kh')",F,BTN,0.175,3,0
"('Jh', 'Kd')",F,CO,0.14,2,0
"('Qs', 'Ad')",F,EP,0.07,0,0
"('Kh', 'Tc')",F,CO,0.175,2,0
"('Ts', 'Td')",R,BTN,0.025,3,1
"('As', 'Qc')",R,SB,0.07,4,1
"('7d', 'Ad')",F,BTN,0.12,3,0
"('Ks', 'Kc')",R,SB,0.01,4,1
"('Td', 'Ah')",R,BTN,0.105,3,1
"('Ad', '3d')",F,SB,0.205,4,0
"('Ah', 'Ts')",F,CO,0.105,2,0
"('Js', 'Kd')",R,BTN,0.14,3,1
"('8h', '8d')",F,BTN,0.035,3,0
"('Ks', 'Td')",F,EP,0.175,0,0
"('Jd', 'Qd')",R,CO,0.12,2,1
"('5d', 'Ad')",R,EP,0.155,0,1
"('Kh', 'Td')",F,MP,0.175,1,0
"('As', 'Kc')",R,MP,0.05,1,1
"('Ad', 'Qh')",R,SB,0.07,4,1
"('Jc', 'Jh')",F,CO,0.02,2,0
"('Ts', 'Js')",R,SB,0.21,4,1
"('Kd', '7d')",F,MP,0.21,1,0
"('Kc', 'Qh')",R,MP,0.115,1,1
"('As', 'Js')",F,MP,0.055,1,0
"('6h', '6c')",R,BTN,0.09,3,1
"('Td', 'Ks')",F,MP,0.175,1,0
"('8d', 'Ah')",F,MP,0.165,1,0
"('Ad', 'Qh')",R,MP,0.07,1,1
"('Ts', 'Ac')",F,BTN,0.105,3,0
"('6d', 'Ad')",F,BTN,0.155,3,0
"('Th', 'Td')",R,BTN,0.025,3,1
"('Jc', 'Tc')",R,SB,0.21,4,1
"('Qs', 'Ah')",F,BTN,0.07,3,0
"('Qd', 'Kd')",R,BTN,0.07,3,1
"('Jc', 'Ac')",R,MP,0.055,1,1
"('Qd', 'Ks')",R,MP,0.115,1,1
"('Kc', 'As')",R,EP,0.05,0,1
"('As', '9d')",F,MP,0.145,1,0
"('Qd', 'Kc')",R,EP,0.115,0,1
"('Kc', 'Qd')",F,MP,0.115,1,0
"('8c', 'Ad')",F,BTN,0.165,3,0
"('8c', 'As')",F,MP,0.165,1,0
"('Js', 'Kh')",F,EP,0.14,0,0
"('As', '8s')",R,CO,0.105,2,1
"('Kd', 'Th')",F,EP,0.175,0,0
"('Qd', 'Ad')",R,CO,0.04,2,1
"('8d', 'Ad')",R,MP,0.105,1,1
"('2h', 'Ah')",F,MP,0.215,1,0
"('Ks', 'Kc')",R,BTN,0.01,3,1
"('Jd', 'Ad')",R,SB,0.055,4,1
"('Ac', 'Qc')",F,BTN,0.04,3,0
"('Qh', 'Ac')",F,EP,0.07,0,0
"('Ks', 'Ts')",R,BTN,0.1,3,1
"('7s', 'Ac')",F,MP,0.2,1,0
"('Kc', 'Ah')",R,EP,0.05,0,1
"('Kh', 'Td')",R,BTN,0.175,3,1
"('As', 'Qh')",R,MP,0.07,1,1
"('Kd', 'Ad')",R,BTN,0.035,3,1
"('Jc', 'Kd')",R,SB,0.14,4,1
"('Kc', 'Ac')",R,MP,0.035,1,1
"('9h', '9s')",F,MP,0.03,1,0
"('Jh', 'Qh')",R,MP,0.12,1,1
"('As', 'Th')",R,MP,0.105,1,1
"('As', 'Jc')",R,MP,0.08,1,1
"('Kd', 'Js')",R,BTN,0.14,3,1
"('9h', '9d')",F,EP,0.03,0,0
"('As', 'Jc')",F,EP,0.08,0,0
"('As', '7c')",F,EP,0.2,0,0
"('5h', 'Ah')",R,SB,0.155,4,1
"('8c', 'Ad')",F,MP,0.165,1,0
"('Th', 'Ad')",R,SB,0.105,4,1
"('Jd', 'Ah')",F,MP,0.08,1,0
"('Td', 'Th')",F,CO,0.025,2,0
"('Ah', '8s')",F,CO,0.165,2,0
"('Ac', 'Jh')",R,SB,0.08,4,1
"('8s', 'Ad')",F,MP,0.165,1,0
"('Td', 'Ks')",F,MP,0.175,1,0
"('As', 'Tc')",R,SB,0.105,4,1
"('Ah', '9d')",F,EP,0.145,0,0
"('Tc', 'As')",R,CO,0.105,2,1
"('Tc', 'Ad')",F,EP,0.105,0,0
"('Qh', 'Kh')",R,SB,0.07,4,1
"('8c', 'Kc')",R,BTN,0.18,3,1
"('6h', '6c')",F,EP,0.09,0,0
"('Qh', 'Ah')",R,EP,0.04,0,1
"('Tc', 'Kh')",F,CO,0.175,2,0
"('Qh', 'Jh')",R,CO,0.12,2,1
"('Kc', '9c')",F,MP,0.145,1,0
"('Ac', '8h')",F,EP,0.165,0,0
"('Ad', '7s')",F,EP,0.2,0,0
"('Ts', 'Tc')",R,MP,0.025,1,1
"('Jh', 'Qd')",F,MP,0.195,1,0
"('Js', 'Ah')",R,MP,0.08,1,1
"('6s', '6h')",R,BTN,0.09,3,1
"('Jc', 'Kd')",F,EP,0.14,0,0
"('9h', 'Ad')",F,MP,0.145,1,0
"('Ad', '6d')",F,MP,0.155,1,0
"('Tc', 'Ac')",F,EP,0.06,0,0
"('5h', '5d')",F,EP,0.145,0,0
"('7d', '7c')",F,BTN,0.055,3,0
"('Ac', 'Td')",F,CO,0.105,2,0
"('6d', '6h')",F,BTN,0.09,3,0
"('As', 'Qd')",R,CO,0.07,2,1
"('Qd', 'Qh')",R,CO,0.015,2,1
"('8c', 'As')",F,CO,0.165,2,0
"('Ah', 'Js')",R,CO,0.08,2,1
"('Ah', '2h')",R,BTN,0.215,3,1
"('6s', '6h')",F,EP,0.09,0,0
"('Tc', 'Ks')",F,MP,0.175,1,0
"('Ad', 'Kd')",F,MP,0.035,1,0
"('6h', '6d')",R,BTN,0.09,3,1
"('6c', 'Ac')",F,MP,0.155,1,0
"('Th', 'Kc')",F,EP,0.175,0,0
"('3h', 'Ah')",F,MP,0.205,1,0
"('Qh', 'Ad')",R,MP,0.07,1,1
"('Ac', 'Kd')",R,CO,0.05,2,1
"('7c', 'Ac')",F,BTN,0.12,3,0
"('Ac', 'As')",R,BTN,0.005,3,1
"('Ac', 'Jd')",F,EP,0.08,0,0
"('7s', 'Ac')",F,MP,0.2,1,0
"('6h', '6c')",F,MP,0.09,1,0
"('8s', 'As')",R,BTN,0.105,3,1
"('8d', 'Ah')",R,BTN,0.165,3,1
"('Ac', '9d')",F,BTN,0.145,3,0
"('Qh', 'Ad')",R,SB,0.07,4,1
"('Td', 'Ks')",F,CO,0.175,2,0
"('Js', 'Ad')",R,SB,0.08,4,1
"('Qd', 'Jc')",F,CO,0.195,2,0
"('Qd', 'Qs')",R,BTN,0.015,3,1
"('3d', 'Ad')",F,MP,0.205,1,0
"('Ah', 'Jd')",R,CO,0.08,2,1
"('7c', '7s')",F,MP,0.055,1,0
"('5c', 'Ac')",R,MP,0.155,1,1
"('Jh', 'Js')",R,SB,0.02,4,1
"('7c', '7d')",F,MP,0.055,1,0
"('As', 'Ah')",R,SB,0.005,4,1
"('Ad', '7s')",F,MP,0.2,1,0
"('Qh', 'Qs')",R,MP,0.015,1,1
"('Qs', 'Jc')",F,SB,0.195,4,0
"('Kc', 'Th')",F,CO,0.175,2,0
"('6s', '6c')",R,SB,0.09,4,1
"('Tc', 'Ts')",R,CO,0.025,2,1
"('Tc', 'Ks')",R,SB,0.175,4,1
"('Ac', '6c')",F,BTN,0.155,3,0
"('Ac', '9h')",F,MP,0.145,1,0
"('Jd', 'Qd')",R,BTN,0.12,3,1
"('Qd', 'Qc')",R,SB,0.015,4,1
"('Ah', 'Ac')",R,BTN,0.005,3,1
"('Js', 'Ts')",F,EP,0.21,0,0
"('Kd', '7d')",F,CO,0.21,2,0
"('7s', 'Ad')",R,SB,0.2,4,1
"('Ah', '9d')",F,EP,0.145,0,0
"('Qc', 'Qh')",F,MP,0.015,1,0
"('Ad', 'Ac')",R,MP,0.005,1,1
"('Qc', 'Tc')",F,MP,0.15,1,0
"('Ah', '8d')",R,BTN,0.165,3,1
"('8c', 'Ac')",R,SB,0.105,4,1
"('Ah', '8s')",R,MP,0.165,1,1
"('6h', '6c')",R,MP,0.09,1,1
"('Ac', 'Ks')",F,EP,0.05,0,0
"('9d', 'Ac')",F,MP,0.145,1,0
"('As', '7d')",F,EP,0.2,0,0
"('Ac', 'Qc')",R,SB,0.04,4,1
"('Ad', 'Th')",R,MP,0.105,1,1
"('As', 'Ad')",R,MP,0.005,1,1
"('Th', 'Ac')",F,MP,0.105,1,0
"('As', 'Kc')",R,MP,0.05,1,1
"('9c', 'Ad')",F,MP,0.145,1,0
"('Qc', 'Jh')",F,EP,0.195,0,0
"('Js', 'Ah')",R,SB,0.08,4,1
"('Ah', '8c')",F,MP,0.165,1,0
"('8s', '8d')",R,SB,0.035,4,1
"('6d', 'Ad')",F,MP,0.155,1,0
"('Jh', 'Ac')",R,MP,0.08,1,1
"('Ad', 'Kh')",R,MP,0.05,1,1
"('Ah', 'Ac')",R,EP,0.005,0,1
"('Qh', 'Ac')",R,BTN,0.07,3,1
"('Jc', 'Qd')",F,CO,0.195,2,0
"('Ad', 'Jd')",R,MP,0.055,1,1
"('9d', 'Kd')",F,EP,0.145,0,0
"('Ks', 'Th')",F,MP,0.175,1,0
"('Js', 'Ah')",F,EP,0.08,0,0
"('Qh', 'Qs')",F,MP,0.015,1,0
"('Kd', 'Qc')",R,EP,0.115,0,1
"('Ac', '2c')",F,CO,0.215,2,0
"('8s', 'Ah')",F,CO,0.165,2,0
"('As', 'Th')",R,EP,0.105,0,1
"('Kc', 'Ks')",F,CO,0.01,2,0
"('Kh', '9h')",R,CO,0.145,2,1
"('3d', 'Ad')",R,MP,0.205,1,1
"('5h', '5s')",R,SB,0.145,4,1
"('Js', 'Ah')",R,SB,0.08,4,1
"('7h', 'Ad')",F,SB,0.2,4,0
"('9d', '9s')",F,MP,0.03,1,0
"('Qd', 'Jc')",R,MP,0.195,1,1
"('Ts', 'Qs')",R,MP,0.15,1,1
"('8c', '8s')",R,EP,0.035,0,1
"('7c', 'Ah')",R,BTN,0.2,3,1
"('Ah', 'Qc')",R,BTN,0.07,3,1
"('Ts', 'Kd')",F,CO,0.175,2,0
"('7s', '7c')",F,CO,0.055,2,0
"('Ah', 'Ts')",R,MP,0.105,1,1
"('Kc', 'Jh')",R,SB,0.14,4,1
"('As', 'Ts')",R,BTN,0.06,3,1
"('2h', 'Ah')",F,EP,0.215,0,0
"('Qs', 'Kh')",R,EP,0.115,0,1
"('Kh', 'Jh')",F,MP,0.085,1,0
"('8c', '8h')",R,EP,0.035,0,1
"('Qc', 'As')",R,EP,0.07,0,1
"('Kh', 'Tc')",F,MP,0.175,1,0
"('8d', '8c')",R,EP,0.035,0,1
"('Ad', 'Qs')",F,BTN,0.07,3,0
"('8h', 'Ad')",F,EP,0.165,0,0
"('6d', '6s')",F,MP,0.09,1,0
"('Ts', 'Ah')",R,CO,0.105,2,1
"('Qh', 'Ah')",R,BTN,0.04,3,1
"('Ah', 'Qd')",R,EP,0.07,0,1
"('Qs', 'Ad')",F,MP,0.07,1,0
"('Th', 'Ad')",R,BTN,0.105,3,1
"('7d', 'As')",F,MP,0.2,1,0
"('Qs', 'As')",R,EP,0.04,0,1
"('Kd', 'Qd')",F,MP,0.07,1,0
"('Qc', 'Kd')",F,MP,0.115,1,0
"('Ah', 'Jd')",R,MP,0.08,1,1
"('6c', '6h')",F,MP,0.09,1,0
"('Th', 'Tc')",R,SB,0.025,4,1
"('Ad', 'Ks')",F,BTN,0.05,3,0
"('Ts', 'Kh')",F,MP,0.175,1,0
"('Qs', 'Kh')",F,MP,0.115,1,0
"('8h', 'Ac')",F,EP,0.165,0,0
"('As', '8d')",F,MP,0.165,1,0
"('Ah', 'Qh')",R,BTN,0.04,3,1
"('Ac', '8d')",R,SB,0.165,4,1
"('Th', 'Kh')",R,EP,0.1,0,1
"('Jd', 'Kd')",R,MP,0.085,1,1
"('9d', '9s')",F,MP,0.03,1,0
"('8s', 'Ah')",F,EP,0.165,0,0
"('8c', '8d')",R,MP,0.035,1,1
"('Kd', 'Jh')",R,CO,0.14,2,1
"('Ah', '9c')",F,CO,0.145,2,0
"('Ad', 'Qs')",R,BTN,0.07,3,1
"('7h', 'Ac')",R,BTN,0.2,3,1
"('Kc', '7c')",F,MP,0.21,1,0
"('6h', '6s')",R,MP,0.09,1,1
"('Ts', 'Tc')",F,MP,0.025,1,0
"('7c', '7s')",R,SB,0.055,4,1
"('7s', 'Ac')",F,MP,0.2,1,0
"('6h', '6d')",R,SB,0.09,4,1
"('Qd', 'Ah')",R,BTN,0.07,3,1
"('Jc', 'Ad')",R,SB,0.08,4,1
"('9d', 'Ac')",F,CO,0.145,2,0
"('Ad', 'Qh')",F,SB,0.07,4,0
"('7s', 'As')",F,MP,0.12,1,0
"('9s', 'As')",F,MP,0.085,1,0
"('Kd', 'Qc')",R,CO,0.115,2,1
"('7c', '7d')",R,SB,0.055,4,1
"('Qh', '9h')",R,CO,0.185,2,1
"('7s', 'Ah')",F,CO,0.2,2,0
"('Jh', 'Kh')",R,MP,0.085,1,1
"('Td', 'Tc')",R,MP,0.025,1,1
"('Qs', 'Jc')",F,MP,0.195,1,0
"('Ah', 'Kd')",R,BTN,0.05,3,1
"('Qc', 'Jh')",F,MP,0.195,1,0
"('9c', 'Qc')",F,MP,0.185,1,0
"('Jd', 'Js')",R,MP,0.02,1,1
"('6h', 'Ah')",R,MP,0.155,1,1
"('9s', 'Ah')",R,BTN,0.145,3,1
"('9s', 'Ah')",F,CO,0.145,2,0
"('Ad', '8h')",R,BTN,0.165,3,1
"('7c', 'Kc')",F,MP,0.21,1,0
"('7d', 'Ad')",F,MP,0.12,1,0
"('Qd', '9d')",R,MP,0.185,1,1
"('Qh', 'Th')",R,SB,0.15,4,1
"('Kc', 'Ac')",R,BTN,0.035,3,1
"('9d', '9s')",R,CO,0.03,2,1
"('Ad', 'Qh')",F,CO,0.07,2,0
"('Td', 'Ks')",R,BTN,0.175,3,1
"('7s', '7h')",F,EP,0.055,0,0
"('8c', 'As')",F,MP,0.165,1,0
"('7h', 'As')",F,EP,0.2,0,0
"('Jd', 'Ad')",R,BTN,0.055,3,1
"('Ad', 'Qc')",R,CO,0.07,2,1
"('Jc', 'Qh')",F,MP,0.195,1,0
"('9h', 'Ah')",R,MP,0.085,1,1
"('Ad', 'Qh')",R,SB,0.07,4,1
"('8d', '8h')",R,MP,0.035,1,1
"('Ac', 'Tc')",R,MP,0.06,1,1
"('Ac', '3c')",R,MP,0.205,1,1
"('Kh', 'Qs')",R,BTN,0.115,3,1
"('6c', '6d')",F,BTN,0.09,3,0
"('Ah', '7d')",R,SB,0.2,4,1
"('Kd', 'As')",R,CO,0.05,2,1
"('Ad', '9h')",F,MP,0.145,1,0
"('Ks', 'Jc')",R,MP,0.14,1,1
"('Ac', 'Kd')",F,BTN,0.05,3,0
"('Jd', 'Kc')",R,MP,0.14,1,1
"('9c', '9h')",R,MP,0.03,1,1
"('As', 'Qc')",F,MP,0.07,1,0
"('Qd', 'Jd')",R,SB,0.12,4,1
"('Th', 'Kd')",F,EP,0.175,0,0
"('Th', 'Kh')",R,MP,0.1,1,1
"('Tc', 'Ad')",R,BTN,0.105,3,1
"('Qh', 'Th')",F,MP,0.15,1,0
"('Jh', 'Qs')",F,SB,0.195,4,0
"('5c', '5h')",F,MP,0.145,1,0
"('As', '9s')",F,CO,0.085,2,0
"('Ts', 'Th')",R,BTN,0.025,3,1
"('Ad', 'Qh')",R,BTN,0.07,3,1
"('Kc', '9c')",F,EP,0.145,0,0
"('Tc', 'Qc')",R,MP,0.15,1,1
"('Ah', '7c')",F,BTN,0.2,3,0
"('Jd', 'As')",F,MP,0.08,1,0
"('Jh', 'Ac')",F,MP,0.08,1,0
"('As', 'Qh')",R,MP,0.07,1,1
"('8c', '8s')",R,MP,0.035,1,1
"('9d', 'Ac')",F,MP,0.145,1,0
"('6s', '6h')",R,BTN,0.09,3,1
"('Js', 'Ad')",R,MP,0.08,1,1
"('Ac', 'Js')",R,EP,0.08,0,1
"('Th', 'Jh')",R,SB,0.21,4,1
"('Jc', 'Qh')",F,EP,0.195,0,0
"('Jc', 'Qs')",F,MP,0.195,1,0
"('Kh', 'Td')",F,EP,0.175,0,0
"('5d', '5c')",F,MP,0.145,1,0
"('Ac', '7h')",F,EP,0.2,0,0
"('8s', 'Ad')",F,EP,0.165,0,0
"('Qh', 'Kc')",F,MP,0.115,1,0
"('7h', 'Ad')",F,MP,0.2,1,0
"('6h', '6d')",F,EP,0.09,0,0
"('Qs', 'Kd')",F,EP,0.115,0,0
"('8c', '8h')",F,MP,0.035,1,0
"('Ac', 'As')",R,EP,0.005,0,1
"('5h', '5d')",R,EP,0.145,0,1
"('Jh', 'Kc')",F,EP,0.14,0,0
"('Ah', '7c')",F,MP,0.2,1,0
"('9d', 'Ah')",F,MP,0.145,1,0
"('9h', 'Ac')",R,SB,0.145,4,1
"('Ts', 'Ks')",F,BTN,0.1,3,0
"('Ac', 'Kh')",R,CO,0.05,2,1
"('Ah', '7h')",R,SB,0.12,4,1
"('Qs', 'Kd')",F,CO,0.115,2,0
"('Ac', 'Jh')",R,SB,0.08,4,1
"('Th', 'Kc')",F,EP,0.175,0,0
"('Ac', '9d')",R,BTN,0.145,3,1
"('Ah', '2h')",R,MP,0.215,1,1
"('Td', 'Ac')",F,CO,0.105,2,0
"('Th', 'As')",R,CO,0.105,2,1
"('Ts', 'Ah')",R,SB,0.105,4,1
"('8d', 'Ad')",F,EP,0.105,0,0
"('9c', 'As')",F,EP,0.145,0,0
"('Ad', 'Qs')",R,BTN,0.07,3,1
"('Ks', 'Jh')",R,SB,0.14,4,1
"('Ac', 'Jh')",R,MP,0.08,1,1
"('Ah', '2h')",F,BTN,0.215,3,0
"('As', 'Tc')",R,MP,0.105,1,1
"('As', 'Kc')",R,MP,0.05,1,1
"('Ac', '8d')",F,EP,0.165,0,0
"('Qc', 'Ks')",R,CO,0.115,2,1
"('Qc', 'Kc')",R,MP,0.07,1,1
"('As', 'Jd')",F,EP,0.08,0,0
"('Qc', 'Qd')",R,EP,0.015,0,1
"('As', '7c')",R,SB,0.2,4,1
"('Kd', 'Ad')",F,EP,0.035,0,0
"('Ah', 'Ts')",F,CO,0.105,2,0
"('Kc', 'Jd')",F,BTN,0.14,3,0
"('As', '9c')",F,CO,0.145,2,0
"('Ks', 'Td')",F,CO,0.175,2,0
"('Td', 'Kh')",R,SB,0.175,4,1
"('Ts', 'Qs')",F,SB,0.15,4,0
"('Kh', '8h')",F,EP,0.18,0,0
"('Ah', '7c')",F,CO,0.2,2,0
"('Kh', '9h')",F,CO,0.145,2,0
"('Ad', '9s')",F,CO,0.145,2,0
"('6c', 'Ac')",R,SB,0.155,4,1
"('Ad', '7s')",F,EP,0.2,0,0
"('Kc', 'Kd')",F,MP,0.01,1,0
"('Jc', 'Qd')",F,MP,0.195,1,0
"('As', 'Qs')",R,BTN,0.04,3,1
"('Ac', 'Th')",F,BTN,0.105,3,0
"('5s', 'As')",R,EP,0.155,0,1
"('Js', 'As')",R,MP,0.055,1,1
"('Ah', 'Qd')",R,SB,0.07,4,1
"('As', '3s')",R,SB,0.205,4,1
"('6h', '6s')",R,SB,0.09,4,1
"('Ac', '8c')",R,CO,0.105,2,1
"('Qd', 'Kc')",R,SB,0.115,4,1
"('Qc', 'Ad')",R,BTN,0.07,3,1
"('Ks', 'Tc')",R,BTN,0.175,3,1
"('6d', '6s')",R,BTN,0.09,3,1
"('5s', '5c')",R,BTN,0.145,3,1
"('Ah', '8d')",R,SB,0.165,4,1
"('Ac', '6c')",R,MP,0.155,1,1
"('Js', 'Qc')",F,CO,0.195,2,0
"('Ks', 'Jc')",F,EP,0.14,0,0
"('Ac', 'Th')",R,SB,0.105,4,1
"('Ah', 'Ac')",R,BTN,0.005,3,1
"('Qs', 'Jc')",F,MP,0.195,1,0
"('7d', '7h')",R,MP,0.055,1,1
"('Ac', 'Th')",R,BTN,0.105,3,1
"('Qc', 'Ad')",F,EP,0.07,0,0
"('Kc', 'Js')",F,MP,0.14,1,0
"('Ad', '4d')",R,CO,0.17,2,1
"('Ad', '9c')",F,MP,0.145,1,0
"('7s', 'Ac')",R,SB,0.2,4,1
"('Kc', '9c')",F,MP,0.145,1,0
"('Td', 'Ad')",F,EP,0.06,0,0
"('Ad', '8d')",R,CO,0.105,2,1
"('Ah', 'Th')",F,MP,0.06,1,0
"('9d', 'Ac')",F,CO,0.145,2,0
"('Tc', 'Ah')",F,BTN,0.105,3,0
"('Ad', '7c')",R,BTN,0.2,3,1
"('Ah', '7s')",F,MP,0.2,1,0
"('Ac', 'Jd')",R,EP,0.08,0,1
"('Qs', 'Ks')",R,MP,0.07,1,1
"('Kc', '8c')",F,MP,0.18,1,0
"('9d', 'Ac')",R,BTN,0.145,3,1
"('Th', 'Kc')",F,MP,0.175,1,0
"('Kh', 'Tc')",R,BTN,0.175,3,1
"('Ah', 'Kc')",R,EP,0.05,0,1
"('Qc', 'Ac')",F,MP,0.04,1,0
"('Ah', '9s')",F,EP,0.145,0,0
"('Ad', 'Ts')",R,MP,0.105,1,1
"('Ac', '8c')",F,EP,0.105,0,0
"('As', 'Th')",R,MP,0.105,1,1
"('As', 'Td')",F,MP,0.105,1,0
"('Ah', 'Ac')",R,MP,0.005,1,1
"('Th', 'Kd')",F,EP,0.175,0,0
"('8s', 'Ah')",F,EP,0.165,0,0
"('Qs', 'Ks')",R,MP,0.07,1,1
"('Ad', '2d')",R,MP,0.215,1,1
"('Ks', '9s')",R,BTN,0.145,3,1
"('9h', '9d')",R,BTN,0.03,3,1
"('Ts', 'Kd')",R,MP,0.175,1,1
"('3c', 'Ac')",R,MP,0.205,1,1
"('As', '9s')",R,SB,0.085,4,1
"('Ac', '5c')",F,CO,0.155,2,0
"('Js', 'Qc')",F,BTN,0.195,3,0
"('Ah', '7s')",F,MP,0.2,1,0
"('Ts', 'Ad')",F,MP,0.105,1,0
"('Ad', '9h')",F,CO,0.145,2,0
"('Qh', 'Th')",F,EP,0.15,0,0
"('Jd', 'Ah')",R,EP,0.08,0,1
"('8s', 'Ks')",F,EP,0.18,0,0
"('Jc', 'Qc')",F,MP,0.12,1,0
"('Kc', 'Jc')",F,CO,0.085,2,0
"('8s', 'Ad')",F,SB,0.165,4,0
"('Ah', '8d')",F,CO,0.165,2,0
"('Qc', 'Tc')",R,EP,0.15,0,1
"('As', '7c')",F,EP,0.2,0,0
"('Kh', 'Kd')",R,BTN,0.01,3,1
"('8c', '8d')",R,BTN,0.035,3,1
"('Ks', 'Qd')",R,CO,0.115,2,1
"('Js', 'Ts')",F,CO,0.21,2,0
"('As', '8h')",F,EP,0.165,0,0
"('3d', 'Ad')",R,MP,0.205,1,1
"('3d', 'Ad')",F,MP,0.205,1,0
"('7h', 'Ah')",F,BTN,0.12,3,0
"('Td', 'Ac')",F,EP,0.105,0,0
"('Qd', 'Jc')",F,MP,0.195,1,0
"('Kc', '7c')",R,BTN,0.21,3,1
"('Kc', 'Ks')",R,SB,0.01,4,1
"('Kd', 'Jc')",R,BTN,0.14,3,1
"('Ah', '9d')",F,MP,0.145,1,0
"('6s', '6h')",R,BTN,0.09,3,1
"('Jd', 'Ah')",R,MP,0.08,1,1
"('Ad', 'Ah')",R,SB,0.005,4,1
"('Jd', 'Ad')",R,MP,0.055,1,1
"('Jd', 'Td')",R,BTN,0.21,3,1
"('4c', 'Ac')",R,MP,0.17,1,1
"('Qs', 'Jc')",F,EP,0.195,0,0
"('As', 'Jc')",F,EP,0.08,0,0
"('7s', 'As')",R,SB,0.12,4,1
"('Tc', 'Ks')",R,BTN,0.175,3,1
"('Qc', 'Jh')",R,SB,0.195,4,1
"('7h', 'As')",F,EP,0.2,0,0
"('Qc', 'Jc')",R,MP,0.12,1,1
"('Ad', '7s')",F,EP,0.2,0,0
"('Qh', 'Ah')",R,EP,0.04,0,1
"('Qc', 'As')",F,CO,0.07,2,0
"('Qc', 'Ah')",F,EP,0.07,0,0
"('Qs', 'Ah')",R,BB,0.07,5,1
"('As', '9h')",F,MP,0.145,1,0
"('8s', 'As')",F,EP,0.105,0,0
"('Ts', 'Kd')",F,MP,0.175,1,0
"('Kh', 'As')",F,CO,0.05,2,0
"('7h', 'Ac')",F,MP,0.2,1,0
"('As', 'Kh')",R,CO,0.05,2,1
"('As', 'Ah')",R,BTN,0.005,3,1
"('Ac', '2c')",F,EP,0.215,0,0
"('7h', '7c')",F,MP,0.055,1,0
"('Qc', 'Ac')",R,EP,0.04,0,1
"('Qh', 'Jd')",F,MP,0.195,1,0
"('Kc', 'Ks')",R,EP,0.01,0,1
"('9h', 'Kh')",F,MP,0.145,1,0
"('6h', '6s')",F,MP,0.09,1,0
"('7s', '7c')",F,EP,0.055,0,0
"('Ah', '7h')",R,CO,0.12,2,1
"('Ah', 'Ts')",R,SB,0.105,4,1
"('Qd', 'Kc')",F,MP,0.115,1,0
"('As', 'Ah')",R,MP,0.005,1,1
"('Js', 'Ac')",F,EP,0.08,0,0
"('Ad', 'Qs')",R,MP,0.07,1,1
"('Ac', 'Qh')",R,MP,0.07,1,1
"('Ah', '3h')",R,BTN,0.205,3,1
"('Kh', 'Ks')",R,SB,0.01,4,1
"('9d', 'Qd')",R,SB,0.185,4,1
"('Ts', 'Ad')",F,MP,0.105,1,0
"('7c', '7h')",F,MP,0.055,1,0
"('9h', '9c')",R,BTN,0.03,3,1
"('8d', 'Kd')",R,BTN,0.18,3,1
"('Ah', '2h')",R,MP,0.215,1,1
"('7s', '7d')",F,CO,0.055,2,0
